seed,step,acc0,acc1,frac_pos0,frac_pos1,best_pos0,best_pos1,pick_pos0,pick_pos1,gap0,gap1
1,0,0.266484,0.244505,0.830000,0.880000,0.01108831,0.01219614,0.00810936,0.00882451,0.00297895,0.00337163
1,500,0.467033,0.546703,0.486667,0.116667,0.00980355,0.00659341,0.00797832,0.00400314,0.00182523,0.00259027
1,1000,0.456044,0.453297,0.513333,0.406667,0.00784929,0.00774635,0.00519124,0.00524680,0.00265806,0.00249955
1,2000,0.521978,0.469780,0.376667,0.443333,0.00666148,0.00815913,0.00427891,0.00539123,0.00238257,0.00276791
1,3000,0.615385,0.478022,0.410000,0.266667,0.00790673,0.00690247,0.00634325,0.00394918,0.00156348,0.00295330
1,5000,0.620879,0.478022,0.410000,0.250000,0.00781739,0.00677656,0.00634325,0.00369963,0.00147414,0.00307692
1,8000,0.629121,0.480769,0.333333,0.443333,0.00953297,0.00687846,0.00728022,0.00431711,0.00225275,0.00256135
1,12000,0.629121,0.491758,0.276667,0.340000,0.00731497,0.00681426,0.00582550,0.00412088,0.00148947,0.00269339
1,20000,0.722527,0.620879,0.120000,0.086667,0.00595238,0.00549451,0.00442613,0.00232460,0.00152625,0.00316991
1,30000,0.821429,0.708791,0.000000,0.010000,-1.00000000,0.00549451,-1.00000000,-0.00091575,-1.00000000,0.00641026
1,50000,0.887363,0.739011,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,80000,0.912088,0.752747,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,120000,0.914835,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,200000,0.917582,0.758242,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
1,300000,0.923077,0.760989,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
2,0,0.282967,0.285714,0.820000,0.833333,0.01301036,0.01272527,0.00993925,0.00972527,0.00307112,0.00300000
2,500,0.535714,0.431319,0.340000,0.543333,0.00824176,0.00837659,0.00511743,0.00520798,0.00312433,0.00316861
