picker,H,acc_final,acc_checkpoint,oracle_rank,frac_oracle
fp,0.0,0.898352,0.785714,2.0533,0.5633
fp,0.0,0.928571,0.722527,1.4933,0.6367
fp,0.0,0.920330,0.722527,1.9567,0.5833
fp,0.0,0.920330,0.771978,1.1533,0.6800
fp,0.0,0.920330,0.821429,2.3900,0.5933
fp,0.0,0.901099,0.684066,1.8067,0.6067
fp,0.0,0.939560,0.730769,2.4900,0.5633
fp,0.0,0.923077,0.653846,2.1067,0.6300
fp,0.0,0.912088,0.747253,1.3767,0.6433
fp,0.0,0.901099,0.700549,1.8233,0.5967
fp,0.0,0.917582,0.648352,2.9133,0.5833
fp,0.0,0.914835,0.717033,1.9600,0.6200
fp,0.0,0.912088,0.774725,2.0033,0.5900
fp,0.0,0.928571,0.708791,1.6833,0.7067
fp,0.0,0.917582,0.708791,1.5333,0.6500
fp,0.0,0.909341,0.733516,1.7367,0.6267
fp,0.0,0.931319,0.697802,1.6433,0.6067
fp,0.0,0.914835,0.700549,2.0367,0.5767
fp,0.0,0.923077,0.791209,1.5267,0.5867
fp,0.0,0.906593,0.717033,2.7767,0.5167
margin1,0.0,0.815934,0.571429,0.3233,0.8100
margin1,0.0,0.859890,0.618132,0.2100,0.8667
margin1,0.0,0.815934,0.626374,0.2633,0.8467
margin1,0.0,0.758242,0.640110,0.3867,0.7500
margin1,0.0,0.881868,0.620879,0.3833,0.7900
margin1,0.0,0.793956,0.524725,0.5300,0.7500
margin1,0.0,0.826923,0.659341,0.2367,0.8300
margin1,0.0,0.818681,0.634615,0.2367,0.8600
margin1,0.0,0.917582,0.750000,0.1533,0.9000
margin1,0.0,0.818681,0.582418,0.2833,0.7933
margin1,0.0,0.807692,0.615385,0.5067,0.7300
margin1,0.0,0.887363,0.706044,0.2533,0.8633
margin1,0.0,0.815934,0.601648,0.2800,0.8300
margin1,0.0,0.807692,0.651099,0.3000,0.8367
margin1,0.0,0.840659,0.587912,0.2300,0.8367
margin1,0.0,0.826923,0.659341,0.2600,0.8200
margin1,0.0,0.837912,0.695055,0.2433,0.8467
margin1,0.0,0.854396,0.582418,0.3467,0.8067
margin1,0.0,0.802198,0.607143,0.2667,0.8267
margin1,0.0,0.859890,0.604396,0.4767,0.7267
local_oracle,0.0,0.914835,0.706044,0.1833,0.8667
local_oracle,0.0,0.818681,0.631868,0.3367,0.7833
local_oracle,0.0,0.884615,0.587912,0.1633,0.8867
local_oracle,0.0,0.835165,0.626374,0.1600,0.8933
local_oracle,0.0,0.807692,0.604396,0.2967,0.8000
local_oracle,0.0,0.824176,0.601648,0.1433,0.8833
local_oracle,0.0,0.813187,0.593407,0.2767,0.8467
local_oracle,0.0,0.796703,0.593407,0.3800,0.8067
local_oracle,0.0,0.868132,0.640110,0.2500,0.8467
local_oracle,0.0,0.815934,0.604396,0.3667,0.8100
local_oracle,0.0,0.807692,0.585165,0.3500,0.8033
local_oracle,0.0,0.824176,0.590659,0.1967,0.8667
local_oracle,0.0,0.815934,0.620879,0.4333,0.7767
local_oracle,0.0,0.815934,0.568681,0.2400,0.8567
local_oracle,0.0,0.898352,0.774725,0.1667,0.8900
local_oracle,0.0,0.868132,0.642857,0.4500,0.7300
local_oracle,0.0,0.804945,0.601648,0.3000,0.8000
local_oracle,0.0,0.807692,0.574176,0.2233,0.8300
local_oracle,0.0,0.843407,0.620879,0.3233,0.8133
local_oracle,0.0,0.802198,0.615385,0.2533,0.8067
hybrid2,0.0,0.796703,0.620879,2.1933,0.5333
