experiment,seed,acc
fp_only,1,0.755495
fp_only,2,0.769231
fp_only,3,0.747253
fp_only,4,0.769231
fp_only,5,0.771978
fp_only,6,0.752747
fp_only,7,0.788462
fp_only,8,0.769231
fp_only,9,0.788462
fp_only,10,0.796703
fp_only,11,0.785714
fp_only,12,0.769231
fp_only,13,0.736264
fp_only,14,0.750000
fp_only,15,0.777473
fp_only,16,0.760989
fp_only,17,0.747253
fp_only,18,0.763736
fp_only,19,0.774725
fp_only,20,0.744505
mid_lo,1,0.747253
mid_lo,2,0.782967
mid_lo,3,0.758242
mid_lo,4,0.752747
mid_lo,5,0.777473
mid_lo,6,0.760989
mid_lo,7,0.763736
mid_lo,8,0.755495
mid_lo,9,0.766484
mid_lo,10,0.763736
mid_lo,11,0.739011
mid_lo,12,0.769231
mid_lo,13,0.739011
mid_lo,14,0.780220
mid_lo,15,0.758242
mid_lo,16,0.739011
mid_lo,17,0.763736
mid_lo,18,0.722527
mid_lo,19,0.791209
mid_lo,20,0.755495
mid_m1,1,0.752747
mid_m1,2,0.752747
mid_m1,3,0.771978
mid_m1,4,0.755495
mid_m1,5,0.752747
mid_m1,6,0.758242
mid_m1,7,0.763736
mid_m1,8,0.763736
mid_m1,9,0.741758
mid_m1,10,0.739011
mid_m1,11,0.741758
mid_m1,12,0.730769
mid_m1,13,0.777473
mid_m1,14,0.763736
mid_m1,15,0.747253
mid_m1,16,0.769231
mid_m1,17,0.744505
mid_m1,18,0.728022
mid_m1,19,0.774725
mid_m1,20,0.758242
fp_only_check,1,0.755495
polished,1,0.755495
fp_only_check,2,0.741758
polished,2,0.741758
fp_only_check,3,0.763736
polished,3,0.763736
fp_only_check,4,0.771978
polished,4,0.771978
fp_only_check,5,0.780220
polished,5,0.780220
fp_only_check,6,0.780220
polished,6,0.780220
fp_only_check,7,0.782967
polished,7,0.782967
fp_only_check,8,0.771978
polished,8,0.771978
fp_only_check,9,0.760989
polished,9,0.760989
fp_only_check,10,0.758242
polished,10,0.758242
fp_only_check,11,0.777473
polished,11,0.777473
fp_only_check,12,0.736264
polished,12,0.739011
fp_only_check,13,0.744505
polished,13,0.744505
fp_only_check,14,0.766484
polished,14,0.766484
fp_only_check,15,0.758242
polished,15,0.763736
fp_only_check,16,0.802198
polished,16,0.802198
fp_only_check,17,0.769231
polished,17,0.774725
fp_only_check,18,0.782967
polished,18,0.782967
fp_only_check,19,0.782967
polished,19,0.782967
fp_only_check,20,0.766484
polished,20,0.766484
